Algorithm,Average Reward,Average Length,Collision Rate,Training Time,Convergence Rate,Evaluation Average Reward,Evaluation Collision Rate
A2C,4.599865632384429,6.0,0.18308568436211298,5040.734024763107,Did not converge,17.095321663508376,0.33
PPO,4.956302684855834,6.0,0.0822364448738075,5543.431006908417,Did not converge,21.499512962660514,0.36
DQN,0.531413426091453,1.0,0.45464135021097046,10417.725012302399,Did not converge,21.698193426526974,0.32
